address,amount
0x64befac34b8bce1a143c9ca2a4b1c3b2a9406fdf,24000000000000000000000
0x6ec1768bae51837f55d7e238330c17af073bfa4c,24000000000000000000000
0x7b5005b02acaeb98c2b22a89dfba62d5efdd6c1e,24000000000000000000000
0xd022f6334441e95fd229ba946a19b466a50d7b7d,24000000000000000000000
0xfd39320a2175f2a35d7639eef8e0f3374d2da97a,23965200000000000000000
0x0a19f064f9d8d0037b965c8bea0767a2a20a687c,23863665488000000000000
0x9b04edeb1e4b17ce4f210ace31e40922bf4229cc,23623989080000000000000
0x9f2b0d3782b5f9bba0faf008cbb65b2fd18bc4b1,23360000000000000000000
0xccfc7e0f33f4276ad998ba350058e02b518048b7,23278250920000000000000
0x64d46ed478bc3311f61a05c4f1c027e8224146b3,23221696588000000000000
0x066ee2a89dac4c0fac8708bd0054081ac84d9343,21200000000000000000000
0x45194c82e073fafc9eee0fc6ef51a5f413b1fbd6,20589756160000000000000
0x5aa2d92706ac04a5a7c1426c468ecde8f6885146,20483798800000000000000
0x45af92ee38bb37bd0cff6f9b083ba5d5fb27ae49,20400000000000000000000
0xe78551cd4f425c3227e2ea9e0d9960ebc18d685e,20400000000000000000000
0x4f9782a0f2c44c3f64ad243fd36c956fd9e0ccf6,20311015448000000000000
0xbd9a996179e955d6116d109d2f6f593d70f444bc,20288000000000000000000
0xe6f23a318f06e91bfae59d9427fafa4dff50176d,20208000000000000000000
